,material_id,elasticity.K_VRH predicted,elasticity.K_VRH
847,mp-28049,29.83833571428573,15.0
150,mp-35035,40.16159285714287,15.0
1096,mp-23002,67.79829404761902,15.0
995,mp-8041,14.183466666666668,15.0
254,mp-38103,29.321643506493487,15.0
870,mp-1002081,21.801925,15.0
456,mp-8255,39.348540476190436,15.0
52,mp-975275,15.127704761904766,15.0
480,mp-976768,31.02426269841269,15.0
77,mp-974949,24.442419047619033,16.0
1046,mp-10165,27.364480952380948,16.0
910,mp-4674,21.39486883116878,16.0
159,mp-11644,21.367954365079342,16.0
768,mp-567504,38.49780595238099,16.0
1020,mp-20623,67.86775219780219,16.0
390,mp-977012,18.507929761904773,16.0
703,mp-561830,24.213254761904782,17.0
840,mp-973166,38.977771428571415,17.0
375,mp-255,25.042914285714307,17.0
482,mp-28627,19.5632,17.0
685,mp-976408,23.828355952380967,17.0
1190,mp-132,16.183953571428553,17.0
421,mp-14338,23.13429523809527,17.0
190,mp-9391,46.94341785714289,18.0
537,mp-30428,32.51613095238096,18.0
426,mp-568598,15.023102380952375,18.0
172,mp-28843,24.48907142857142,18.0
166,mp-567629,15.427157142857142,18.0
723,mp-976280,23.968165476190485,18.0
923,mp-11719,19.463723809523795,18.0
369,mp-23291,21.52740714285717,18.0
105,mp-504600,22.45102142857143,19.0
569,mp-38725,26.687057142857128,19.0
545,mvc-13470,26.565451190476214,19.0
931,mp-1022,17.502997619047626,19.0
27,mp-20311,88.27034047619061,19.0
466,mp-20422,42.24971785714288,19.0
239,mp-557837,113.88655660597584,19.0
319,mp-22693,50.84006912809409,20.0
885,mp-1013582,21.19959642857139,20.0
303,mp-9561,54.7578448412699,20.0
858,mp-28166,20.60454761904761,20.0
1162,mp-11695,24.55906190476193,20.0
229,mp-8995,26.825414285714274,20.0
88,mp-29584,19.734290476190463,20.0
798,mp-568273,22.08789761904761,20.0
380,mp-15724,17.089304761904767,20.0
829,mp-4584,95.57830707070706,21.0
624,mp-984240,50.47268452380949,21.0
671,mp-1013708,27.324228968253898,21.0
224,mp-13610,22.630766666666673,21.0
827,mp-15684,19.527347619047614,21.0
795,mp-999052,129.94287142857144,21.0
230,mp-998323,17.388370238095252,21.0
688,mp-9687,20.320000000000007,21.0
1023,mp-756132,63.58597499999996,21.0
1156,mp-1009221,43.57767427849926,22.0
253,mp-675531,34.48395714285716,22.0
1021,mp-29551,15.99339999999999,22.0
1186,mp-985584,24.7985142857143,22.0
232,mp-13947,26.21721666666667,22.0
244,mp-571133,23.48160241702751,22.0
215,mp-1136,20.640773809523846,22.0
774,mp-866169,26.421297619047635,23.0
740,mp-8860,20.640773809523846,23.0
1054,mp-510430,24.16413333333335,23.0
481,mp-5414,36.28525833333333,23.0
781,mp-14790,36.77806071428577,23.0
876,mp-30053,47.71411428571425,23.0
413,mp-31235,23.52079285714284,23.0
869,mp-2418,52.35641428571425,23.0
1163,mp-7089,25.468557142857136,23.0
1181,mp-501,28.244092063492108,23.0
226,mp-1394,10.84258095238096,23.0
938,mp-31516,44.109055735930774,23.0
1005,mp-697096,32.35924920634923,23.0
93,mp-8543,32.525757142857124,23.0
565,mp-30434,32.89074166666666,24.0
704,mp-31324,32.028835714285734,24.0
1115,mp-541487,45.655013888888845,24.0
349,mp-10161,27.92334761904762,24.0
518,mp-4112,83.79554197224337,24.0
897,mp-1025201,16.047516666666652,24.0
713,mp-20832,24.946823809523774,24.0
720,mp-7849,126.89360117634756,24.0
24,mp-1009755,33.19790436507939,24.0
1159,mp-5558,131.27446666666674,25.0
824,mp-560956,48.37415476190481,25.0
404,mp-11266,30.923040476190497,25.0
392,mp-8059,113.88655660597584,25.0
198,mp-567666,26.36000158730152,25.0
859,mp-760415,22.447071428571444,25.0
1011,mp-976010,58.70967261904757,25.0
969,mp-27255,29.082101190476195,25.0
749,mp-11816,38.187064285714285,26.0
655,mp-754084,93.01072380952381,26.0
1117,mp-976017,29.85065714285714,26.0
1145,mp-624668,30.067709523809558,26.0
108,mp-997024,34.98900000000001,26.0
521,mp-14796,30.236815476190475,26.0
1086,mp-1646,29.25459761904761,26.0
641,mp-3849,65.1721571428572,26.0
971,mp-1245,39.50017142857147,26.0
1085,mp-7848,82.35426608187133,26.0
1155,mp-976023,26.127816666666693,26.0
952,mp-7470,27.299026190476194,26.0
629,mp-32884,49.296851767676756,26.0
1189,mp-22003,38.12001309523803,26.0
890,mp-1598,19.157300000000014,26.0
892,mp-754246,151.69693701298712,26.0
321,mp-861645,39.217069047619056,26.0
1107,mp-865984,32.24372738095239,27.0
311,mp-16764,36.697717857142855,27.0
1030,mp-567395,40.2462892857143,28.0
942,mp-30426,32.783951587301594,28.0
823,mp-558432,32.33693841991342,28.0
318,mp-767409,34.64650714285711,28.0
646,mp-28376,53.40814999999997,28.0
294,mp-568662,29.34020000000001,28.0
789,mp-571454,92.34594285714277,28.0
658,mp-7618,30.067213095238102,29.0
378,mp-862632,29.700159523809518,29.0
775,mp-27438,27.798439285714288,29.0
337,mp-989570,18.743698809523824,29.0
288,mp-10485,30.319711904761895,29.0
1141,mp-3955,82.35426608187133,29.0
59,mp-22924,25.16712261904762,29.0
635,mp-8399,72.34310476190471,30.0
1,mp-865939,29.422422222222195,30.0
330,mp-557,65.62620000000005,30.0
1138,mp-23279,22.911233333333374,30.0
1009,mp-441,16.91409047619047,30.0
672,mp-7911,33.091702380952405,31.0
663,mp-570213,41.22979523809525,31.0
191,mp-1001833,38.958663095238116,31.0
1169,mp-30768,31.90870238095236,31.0
988,mp-1018040,45.66965476190475,31.0
19,mp-2012,41.138133333333336,31.0
1123,mp-1730,33.4329285714286,31.0
586,mp-862631,33.201200000000036,31.0
43,mp-865713,39.90384523809524,32.0
726,mp-4157,44.18241309523811,32.0
283,mp-978271,44.93324682539685,32.0
541,mp-9925,31.920910714285718,32.0
341,mp-553896,47.08412738095239,32.0
101,mp-867172,39.50363214285718,32.0
919,mp-22904,31.273090476190486,33.0
550,mp-1018656,45.99279999999995,33.0
478,mp-560037,34.01619523809523,33.0
54,mp-8306,48.43446428571427,33.0
843,mp-569170,37.42834523809528,33.0
598,mp-23313,38.958663095238116,33.0
787,mp-471,54.03308055555557,33.0
290,mp-555166,44.404385714285745,33.0
970,mp-545820,55.76678412698418,34.0
534,mp-19052,56.366397619047575,34.0
880,mp-8962,26.005635714285702,34.0
94,mp-570290,32.47634523809524,34.0
997,mp-13798,37.220285714285716,35.0
516,mp-981933,78.38478809523814,35.0
79,mp-20196,16.297495238095244,35.0
656,mp-10106,33.4430138888889,35.0
1025,mp-8547,45.18471666666661,35.0
634,mp-13868,30.892446031746026,35.0
136,mp-685146,37.045902994227994,35.0
206,mp-643718,41.65716785714288,35.0
944,mp-1437,35.81604206349209,35.0
873,mp-6179,37.05453431013429,35.0
38,mp-1253,35.69537380952384,36.0
1063,mp-2730,51.973897619047605,36.0
323,mp-24066,49.01936655844155,36.0
471,mp-29529,33.05004206349207,36.0
733,mp-989192,37.498226512376526,36.0
1131,mp-556004,61.05716547619046,36.0
82,mp-10063,42.477093253968214,36.0
204,mp-861738,51.287624999999984,36.0
1172,mp-18513,37.891415476190474,36.0
689,mp-556927,40.25741547619052,36.0
984,mp-1013558,27.794801190476186,37.0
53,mp-753508,46.35466468253973,37.0
132,mp-557142,35.36314642857139,37.0
493,mp-21489,43.41939880952379,37.0
632,mp-23432,45.905464285714295,37.0
100,mp-557753,35.478717460317476,37.0
1200,mp-10680,35.69537380952384,38.0
611,mp-862329,24.98230793650793,38.0
690,mp-117,54.929891269841136,38.0
585,mp-1018135,48.89889404761903,38.0
356,mp-867700,38.63123214285713,38.0
154,mp-976292,43.97925793650789,38.0
891,mp-971837,36.46280277777779,38.0
921,mp-16271,34.891838095238136,38.0
123,mp-19414,50.20160119047622,38.0
730,mp-570771,38.55021428571425,38.0
237,mp-570091,41.77052023809527,38.0
546,mp-1038829,34.922854365079395,39.0
118,mp-559976,130.18633585858572,39.0
744,mp-8943,29.892593290043287,39.0
577,mp-23201,33.6464575396825,39.0
112,mp-23024,43.038801190476185,39.0
867,mp-752426,22.447071428571444,39.0
1008,mp-1039434,39.6537571428572,40.0
684,mp-999207,75.24100238095234,40.0
1137,mp-7366,50.527254761904814,40.0
233,mp-29816,85.66348452380957,40.0
727,mp-11,61.90034574428845,40.0
794,mp-559847,45.413997186147206,40.0
509,mp-27418,40.71916428571425,40.0
633,mp-554822,50.53819999999998,40.0
487,mp-27660,47.49860119047621,41.0
197,mp-20612,46.09436944444445,41.0
680,mp-867163,42.69872380952385,41.0
1057,mp-793,41.09710714285714,41.0
203,mp-4779,76.39245238095234,41.0
863,mp-864745,47.137139682539654,41.0
987,mp-1025207,51.14623333333334,41.0
972,mp-27837,27.135611904761895,41.0
725,mp-556353,44.82860238095235,41.0
116,mp-820,31.90499484126986,41.0
1118,mp-1029616,94.04285238095235,41.0
960,mp-561317,41.688233333333294,41.0
687,mp-23157,43.027950000000025,41.0
1130,mp-30356,39.43007976190476,41.0
776,mp-752881,32.622257936507914,41.0
643,mp-753722,47.23586792929293,42.0
1051,mp-7431,46.97563690476187,42.0
1152,mp-7924,38.633911904761895,42.0
872,mp-1009746,98.69754285714292,42.0
412,mp-978274,34.922854365079395,42.0
58,mp-94,53.734310769785814,42.0
990,mp-23143,65.56822896825402,42.0
335,mp-30648,40.75650952380949,42.0
145,mp-10985,37.39522857142863,43.0
928,mp-676586,60.400971825396795,43.0
662,mp-30381,58.990030952380934,43.0
620,mp-8884,41.71832362637359,43.0
941,mp-1001786,57.26281507936513,43.0
682,mp-31503,41.92146785714283,43.0
1150,mp-22922,35.356863203463156,43.0
1069,mp-977586,63.04682380952383,43.0
739,mp-978280,44.39207777777775,43.0
1142,mp-626689,53.98876666666664,44.0
540,mp-1415,44.22497222222226,44.0
200,mp-1025219,52.57351428571425,44.0
1027,mp-13545,49.63346587301585,44.0
812,mp-34467,41.71074960317464,45.0
1000,mp-28323,61.234921428571404,45.0
485,mp-30650,45.03948769841268,45.0
758,mp-753712,58.416395634920654,45.0
731,mp-778364,74.23194047619043,46.0
193,mp-2352,35.751527380952396,46.0
359,mp-561033,42.88253214285719,46.0
212,mp-571566,49.11907857142853,46.0
174,mp-13089,45.699448809523794,46.0
240,mp-30247,51.624296248196224,46.0
1088,mp-34293,78.7836416666666,46.0
284,mp-27579,42.363852380952345,46.0
268,mp-862747,45.85173333333334,47.0
365,mp-27677,47.633929761904774,47.0
70,mp-753360,89.22457121212132,47.0
556,mp-570686,42.91312976190478,47.0
494,mp-1698,43.131269047619064,47.0
310,mp-31212,42.83977023809526,47.0
601,mp-22566,38.32784523809524,47.0
476,mp-23713,45.39804642857143,47.0
576,mp-1017467,146.10649047619052,47.0
1050,mp-776952,35.751527380952396,47.0
764,mp-2201,27.85435476190473,47.0
343,mp-30245,61.51795714285709,48.0
539,mp-33363,58.452359920634954,48.0
0,mp-13270,50.02067857142855,48.0
207,mp-55,54.929891269841136,48.0
648,mp-20305,59.63616764989403,49.0
964,mvc-3525,66.95526428571438,49.0
1029,mp-30338,56.50006428571432,49.0
1182,mp-8291,57.89415634920641,49.0
639,mp-975359,49.30950119047625,49.0
1151,mp-1008702,129.90674880952392,49.0
86,mp-961684,38.60985952380947,49.0
694,mp-777595,44.81034126984128,49.0
1164,mp-7875,47.381751190476216,49.0
220,mp-2693,26.681688095238083,50.0
139,mp-6867,52.62960238095233,50.0
1170,mp-30472,53.75471428571429,50.0
41,mp-22152,56.70686309523809,50.0
1091,mp-13312,57.455084523809525,50.0
1153,mvc-15785,71.1865206349207,50.0
1071,mp-560663,43.87795476190481,50.0
90,mp-22739,51.30303611111112,51.0
295,mp-12098,59.90890952380954,51.0
800,mp-570835,56.08919960317463,51.0
437,mp-1018030,54.32078134920638,51.0
784,mp-7482,40.348135317460304,51.0
168,mp-7878,60.38488809523815,51.0
1045,mp-862740,53.5511595238095,51.0
865,mp-978276,59.063759523809516,51.0
755,mp-8017,39.915202380952366,52.0
732,mp-12359,45.655086507936545,52.0
628,mp-16565,50.06796341991333,52.0
547,mp-978498,66.07958809523818,52.0
1038,mp-7223,54.82015833333334,52.0
807,mp-5190,54.251728571428536,52.0
1012,mp-1592,42.04776904761905,52.0
520,mp-568177,62.50102182539686,52.0
557,mp-27388,85.1058485930736,52.0
338,mp-15845,47.0771424603175,52.0
1201,mp-554451,59.8808726190476,52.0
360,mp-560671,39.60942023809525,52.0
1066,mp-759877,58.173825793650764,53.0
345,mp-5615,53.29002261904761,53.0
158,mp-680580,60.28698253968252,53.0
1078,mp-21294,60.04346190476196,53.0
559,mp-30580,59.96091904761903,53.0
1104,mp-8789,45.846504761904754,53.0
653,mp-1029,53.84592142857144,54.0
714,mp-29754,50.830732142857116,54.0
623,mp-1008925,86.52759880952385,54.0
717,mp-6494,55.07429603174602,54.0
561,mp-9562,68.88261428571433,54.0
965,mp-979423,89.22970595238102,54.0
549,mp-989539,47.30942619047621,54.0
1121,mp-13799,29.498295238095235,54.0
712,mp-9768,48.77069999999996,55.0
592,mp-10632,35.251589826839854,55.0
96,mp-11269,52.84388333333333,55.0
570,mp-948,41.71832362637359,55.0
976,mp-2293,43.1571861832612,55.0
950,mp-1029656,43.89564999999998,55.0
1147,mp-12557,53.001099999999994,56.0
835,mp-865987,61.80140238095236,56.0
896,mp-863659,68.98118928571438,56.0
602,mp-1029719,81.5021119047619,56.0
358,mp-380,33.99742390387395,56.0
947,mp-3927,58.29070238095239,57.0
596,mp-17783,54.0905571428571,57.0
155,mp-989605,36.30360714285714,57.0
808,mp-1002574,70.65399830447332,57.0
1175,mp-5380,48.30426309523809,57.0
562,mp-9247,59.26829880952389,57.0
249,mp-571339,80.12020476190484,57.0
386,mp-754358,64.87501471861472,58.0
418,mp-8606,59.775179761904795,58.0
9,mp-13010,64.63356666666672,58.0
1077,mp-1039141,52.93069292929295,58.0
610,mp-551685,52.72697878787872,58.0
973,mp-1190,33.99742390387395,58.0
1070,mp-975106,72.51251904761905,59.0
1191,mp-18712,61.55527261904759,59.0
347,mp-21029,57.73379880952373,59.0
553,mp-936,65.81045533910536,59.0
1157,mp-10760,45.66965476190475,59.0
234,mp-1229,73.22467869352877,59.0
1002,mp-982974,93.54865324675319,59.0
652,mp-647164,66.0453408369408,59.0
304,mp-540231,75.52329642857146,59.0
80,mp-8372,60.996922619047524,60.0
887,mp-9179,57.165633333333304,60.0
165,mp-1734,60.83483452380951,61.0
353,mp-5342,55.618940873015845,61.0
160,mp-1016854,114.5543357142858,62.0
103,mp-10256,81.56661706349205,62.0
922,mp-16220,89.15999675324676,62.0
368,mp-675902,55.19170674603172,62.0
1043,mp-11361,65.63139956709955,63.0
428,mp-9743,64.26358928571429,63.0
352,mp-975906,65.88557380952379,63.0
149,mp-947,64.92545744810745,64.0
398,mp-20086,74.879517063492,64.0
3,mp-22736,60.24595054112554,64.0
76,mp-20987,73.8433,64.0
946,mp-985828,54.094196428571436,64.0
985,mp-16648,63.71213214285715,64.0
68,mp-19120,122.63895674603177,64.0
786,mp-7846,69.42407448384945,65.0
619,mp-10182,61.93086666666667,65.0
571,mp-2696,63.02965235042736,65.0
306,mp-9195,50.530835714285715,65.0
536,mp-10180,55.19390119047622,66.0
805,mp-553243,78.8621112978525,66.0
813,mp-4255,54.87835090187596,66.0
706,mp-755974,48.67126071428576,66.0
95,mp-8842,71.96209512987014,66.0
519,mp-23121,67.53250952380952,66.0
465,mp-554973,56.545917460317476,67.0
560,mp-1025203,69.50377261904755,67.0
265,mp-1029357,60.8027125180375,67.0
152,mp-31510,45.82599285714283,67.0
417,mp-8298,45.552186904761896,67.0
492,mp-9615,59.366880952380974,68.0
400,mp-6951,55.79080714285716,68.0
532,mp-10445,72.66703095238097,68.0
563,mp-11025,69.99507662337656,68.0
45,mp-23116,58.94364094516586,68.0
125,mp-20563,69.85611428571431,69.0
1019,mp-5878,53.53639841269844,69.0
849,mp-4124,93.79474523809523,69.0
315,mp-18707,71.25602023809526,70.0
815,mp-19943,73.17333928571423,70.0
607,mp-10185,96.44167903762917,70.0
1093,mp-5193,65.36332539682543,70.0
1032,mp-2172,73.33834559052069,70.0
881,mp-13513,60.160805952380954,70.0
552,mvc-5897,120.72354761904751,70.0
707,mp-20474,61.567815348540286,70.0
51,mp-1029448,84.25617380952389,70.0
1110,mp-12137,70.03108928571426,70.0
909,mp-30778,68.90521904761903,71.0
92,mp-841,78.34508095238094,71.0
475,mp-1687,78.12762261904744,71.0
638,mp-16246,62.52439231601729,71.0
937,mp-3838,84.57919285714293,71.0
929,mp-5127,99.73994007936513,72.0
402,mp-865747,66.25446904761904,72.0
678,mp-13993,71.55827301587308,72.0
763,mp-8456,69.42039087301588,72.0
1165,mp-12520,78.3892607142858,72.0
424,mp-545756,63.68414455544463,72.0
1033,mp-571350,61.68987142857142,73.0
78,mp-8891,108.16019087301576,74.0
1064,mp-7361,77.47305952380961,74.0
951,mp-27227,80.38615833333341,74.0
219,mp-8432,65.66242976190476,74.0
416,mp-11413,80.30523928571434,74.0
852,mp-22346,59.4369476190476,75.0
67,mp-3988,83.20166507936504,75.0
507,mp-557938,73.93585595238093,75.0
81,mp-1025151,64.73687182539676,75.0
243,mp-4666,71.17475598845597,75.0
156,mp-1008903,57.58194794372294,76.0
270,mp-11471,78.81729642857144,76.0
296,mp-11236,74.54527023809527,76.0
6,mp-21017,85.80089880952384,76.0
584,mp-2490,72.82999344821845,76.0
1075,mp-675755,128.40330833333326,76.0
129,mp-559390,106.67520357142851,76.0
914,mp-19871,85.0721726551228,76.0
542,mp-11313,83.52957857142854,77.0
980,mp-11957,69.44325238095239,77.0
527,mp-976271,66.4100642857143,77.0
554,mp-4182,79.15250595238095,77.0
1154,mp-997086,102.33267976190474,77.0
354,mp-867259,54.41490753968255,78.0
686,mp-21309,110.47051626984123,78.0
1168,mp-867242,80.53635595238102,78.0
39,mp-567197,79.02414523809531,78.0
28,mp-1018104,100.5241511904762,78.0
201,mp-865919,77.3437514069264,78.0
791,mp-1029474,68.43182063492071,79.0
1135,mp-15895,77.64800710678209,79.0
1031,mp-12549,79.48963412698406,79.0
626,mp-10761,47.12370793650796,79.0
1035,mp-768240,75.45626190476193,79.0
241,mp-13071,100.74374682539684,80.0
1125,mp-20049,86.52759880952385,80.0
1178,mp-8409,85.7574174603175,80.0
277,mp-977438,147.13685238095232,80.0
1004,mp-620290,103.29612380952386,81.0
143,mp-19791,102.06593571428571,81.0
1017,mp-1782,83.75515238095234,81.0
593,mp-3158,63.981826190476106,81.0
645,mp-8790,71.83680555555554,81.0
819,mp-15960,81.07601071428576,81.0
1061,mp-9158,101.64483730158712,81.0
30,mp-28549,80.17369880952388,81.0
447,mp-14753,81.21914285714297,83.0
36,mp-11209,73.33834559052069,83.0
69,mp-546546,113.88655660597584,83.0
1006,mp-168,89.15999675324676,83.0
1149,mp-1019541,78.23056349206338,83.0
372,mp-7823,62.87747777777765,84.0
945,mp-5495,128.19331785714286,84.0
16,mp-10027,91.4734357142857,84.0
874,mp-20512,104.27715634920624,84.0
615,mp-3795,64.89008038905537,84.0
512,mp-30461,83.21789404761896,84.0
389,mp-1025229,112.27624523809523,84.0
182,mp-13203,85.08270238095233,84.0
111,mp-1356,75.01296150793657,84.0
157,mp-19138,91.19842477081744,85.0
1173,mp-862719,74.86376666666679,85.0
425,mp-3503,82.34125238095244,85.0
427,mp-2666,78.90434285714286,85.0
141,mp-978290,95.87239999999998,85.0
236,mp-4628,99.64370833333331,85.0
225,mp-29352,75.90986706349203,86.0
605,mp-29638,66.14027261904761,86.0
280,mp-1008488,82.3556424603175,86.0
868,mp-1029562,86.82989404761909,86.0
47,mp-672299,78.20262857142853,86.0
933,mp-18965,111.88494941006702,86.0
216,mp-1029737,86.3913880952381,87.0
181,mp-981215,110.21962321428578,87.0
1099,mp-2780,82.73942380952373,88.0
411,mp-19895,85.18012896825394,88.0
218,mp-568565,139.31732380952394,88.0
495,mp-997010,80.41965714285716,88.0
332,mp-865795,95.00683690476211,88.0
991,mp-10597,87.73929688644697,88.0
496,mp-759541,104.25904404761904,88.0
1174,mvc-11115,161.71661938061953,88.0
151,mp-989642,30.083688095238085,88.0
262,mp-865990,81.57279166666666,88.0
735,mp-1029730,83.8593396825397,88.0
854,mp-635966,128.55797781385292,89.0
231,mp-21249,93.6521516483517,89.0
833,mp-22493,84.31777896825396,89.0
715,mp-2187,95.46455714285706,89.0
761,mp-30459,84.99597261904762,89.0
600,mp-12521,93.02950400432907,89.0
396,mp-30536,123.40113315018313,89.0
567,mp-862658,89.43493928571438,90.0
578,mp-1404,90.87119102564093,90.0
511,mp-2552,76.92718095238102,90.0
410,mp-755378,83.79001468253979,90.0
1194,mp-30785,177.71637976190476,90.0
293,mp-4481,114.75190515873008,90.0
982,mp-30797,108.30582905705413,90.0
351,mp-976185,76.26665238095238,91.0
742,mp-1025242,87.97050476190479,91.0
1179,mp-22617,81.59440952380959,91.0
470,mp-567841,130.7777991596639,92.0
1062,mp-754010,119.67002976190473,92.0
799,mp-21385,103.74718333333334,92.0
371,mp-11227,103.73871507936506,92.0
1127,mp-1825,90.27376980519476,92.0
133,mp-1570,124.20689047619051,92.0
1136,mp-13172,99.80540119047623,92.0
1018,mp-14070,73.03957976190469,92.0
1068,mp-14398,110.94229538982252,92.0
245,mp-505804,87.08893333333326,93.0
64,mp-555434,85.12699837154155,93.0
1202,mp-542435,89.56142222222228,93.0
614,mp-985825,98.41149320091672,93.0
905,mp-3427,137.35637658730164,93.0
339,mp-775127,94.29677698412699,94.0
222,mp-30349,59.16404285714289,94.0
934,mp-972088,102.43132738095238,94.0
640,mp-1038,98.16953730158728,94.0
701,mp-973053,111.89627619047613,95.0
214,mp-22514,97.68147380952385,95.0
173,mp-849459,76.56363690476194,95.0
1041,mp-8978,78.02585714285712,96.0
529,mp-19928,92.40757142857136,96.0
1044,mp-30587,102.39125000000004,97.0
497,mp-1969,99.09847197802195,97.0
753,mp-241,78.03936190476186,97.0
142,mp-12923,74.07025357142858,97.0
273,mp-715553,122.2915288100789,97.0
391,mp-752685,123.085520923521,97.0
760,mp-865520,108.90551547619032,98.0
1109,mp-11248,90.34515714285708,99.0
772,mp-14793,86.75608150183146,99.0
448,mp-11169,88.08660714285709,99.0
709,mp-998,97.95409999999998,99.0
1055,mp-19149,78.77307222222208,100.0
674,mp-8577,99.33660158730171,100.0
759,mp-5186,89.3335238095238,100.0
943,mp-14105,103.44627784534883,100.0
314,mp-4520,100.80344480519474,100.0
213,mp-569775,104.67205595238084,100.0
464,mp-1023125,124.47847182539677,100.0
841,mp-865594,96.93615357142856,101.0
783,mp-3210,96.11509285714293,101.0
1180,mp-10896,105.64702619047628,101.0
452,mp-983459,112.14296666666668,101.0
1139,mp-2369,94.42500793650784,101.0
992,mp-13450,104.36710238095228,101.0
893,mp-1471,102.37796111111112,101.0
498,mp-12070,102.08507436974787,102.0
1161,mp-18906,85.56265733657891,102.0
981,mp-8983,74.74151904761902,102.0
162,mp-486,142.73039439775914,102.0
1059,mp-10676,96.57819770229764,102.0
364,mp-636368,123.60993452380951,102.0
844,mp-862318,93.39932261904764,102.0
883,mp-672340,88.15991190476183,102.0
5,mp-11684,113.88655660597584,103.0
505,mp-567982,100.20864642857156,103.0
195,mp-18767,109.43153095238092,103.0
261,mp-754629,305.8721138888876,103.0
683,mp-5292,104.68963921078912,104.0
797,mp-5618,111.81610118003336,104.0
348,mp-763099,92.38160119047608,104.0
1122,mp-31205,107.73951666666667,104.0
300,mp-22205,185.3609321704439,104.0
939,mp-10322,107.36188809523807,104.0
449,mp-754262,101.18092994987468,104.0
1171,mp-6686,36.492188095238106,104.0
1095,mp-246,67.51430903679653,104.0
1146,mp-1014219,124.90814206349212,105.0
247,mp-11038,106.30081944444444,105.0
673,mp-989568,48.262183333333276,105.0
415,mp-9125,91.68338594771248,105.0
458,mp-13092,108.324648015873,105.0
490,mp-8335,93.42655952380942,106.0
581,mp-570001,105.53390909197016,106.0
1166,mp-998981,107.06397023809514,106.0
328,mp-4287,114.7673380952382,106.0
801,mp-867133,101.1568674603175,106.0
728,mp-11239,116.93144880952384,106.0
779,mp-4652,173.0687119047619,107.0
362,mp-862258,103.37234166666669,107.0
912,mp-864969,96.62192976190478,107.0
331,mp-625,107.95426309523815,107.0
845,mp-571342,100.13169880952364,107.0
263,mp-2614,107.37903214285713,107.0
736,mp-7801,102.32992460317465,107.0
279,mp-11309,111.13009761904749,107.0
1082,mp-862563,106.68653452380957,108.0
1128,mp-643273,89.22503452380954,108.0
1014,mp-866046,133.74883571428586,108.0
443,mp-978853,90.52085714285722,109.0
35,mp-489,119.68932519147516,109.0
977,mp-865043,118.16352483839692,109.0
1124,mp-20329,113.39463452380949,109.0
161,mp-754741,183.796827705628,109.0
55,mvc-14558,127.63027976190484,109.0
326,mp-30773,112.19418809523808,110.0
1026,mp-1022728,127.46806428571439,110.0
839,mp-981749,144.2190595238096,110.0
574,mp-2931,110.99972063492065,110.0
668,mp-569837,127.73101785714294,110.0
803,mp-17856,110.63246190476193,110.0
106,mp-20097,185.62147532679748,111.0
342,mp-30408,108.57839047619056,111.0
344,mp-4846,129.3706166666667,111.0
