,material_id,elasticity.K_VRH
361,mp-762268,87
362,mp-7639,34
363,mp-764949,46
364,mp-766,149
365,mp-766486,44
366,mp-769365,69
367,mp-770107,159
368,mp-7785,54
369,mp-7787,137
370,mp-784630,233
371,mp-7878,51
372,mp-7918,127
373,mp-7979,24
374,mp-8039,126
375,mp-8175,88
376,mp-8187,43
377,mp-8207,193
378,mp-8208,189
379,mp-8219,129
380,mp-823,163
381,mp-8236,61
382,mp-828,215
383,mp-8285,162
384,mp-8335,106
385,mp-8418,193
386,mp-85,33
387,mp-8511,6
388,mp-8606,58
389,mp-861738,36
390,mp-861900,71
391,mp-861910,66
392,mp-861951,192
393,mp-862257,90
394,mp-862288,232
395,mp-862297,148
396,mp-862324,110
397,mp-862372,140
398,mp-862375,111
399,mp-862379,109
400,mp-862561,178
401,mp-862565,33
402,mp-862622,270
403,mp-862672,63
404,mp-862911,194
405,mp-8639,309
406,mp-864670,247
407,mp-864932,91
408,mp-864940,119
409,mp-864945,176
410,mp-864983,231
411,mp-865030,178
412,mp-865038,227
413,mp-865155,157
414,mp-865234,226
415,mp-865588,93
416,mp-865604,17
417,mp-865730,135
418,mp-865810,263
419,mp-865866,140
420,mp-865868,138
421,mp-865914,233
422,mp-865964,21
423,mp-866141,229
424,mp-866155,209
425,mp-866156,124
426,mp-866161,251
427,mp-866165,110
428,mp-866183,166
429,mp-866187,157
430,mp-867109,81
431,mp-867874,238
432,mp-8754,25
433,mp-8790,81
434,mp-8922,114
435,mp-90,259
436,mp-9177,86
437,mp-9244,153
438,mp-9258,320
439,mp-9318,23
440,mp-932,73
441,mp-945,213
442,mp-9514,134
443,mp-9566,39
444,mp-9574,35
445,mp-9615,68
446,mp-961696,190
447,mp-961706,165
448,mp-961709,69
449,mp-9711,169
450,mp-971703,171
451,mp-971837,38
452,mp-971951,137
453,mp-972827,166
454,mp-972899,122
455,mp-974883,6
456,mp-975206,89
457,mp-975255,161
458,mp-975359,49
459,mp-975439,165
460,mp-976010,25
461,mp-976600,95
462,mp-976772,64
463,mp-977112,21
464,mp-977123,148
465,mp-977128,172
466,mp-977182,113
467,mp-977363,195
468,mp-977401,193
469,mp-977563,279
470,mp-978271,32
471,mp-978277,48
472,mp-978546,68
473,mp-978862,150
474,mp-979267,218
475,mp-9812,117
476,mp-982637,10
477,mp-982873,18
478,mp-984717,63
479,mp-989541,44
480,mp-989553,80
481,mp-989590,7
482,mp-989613,168
483,mp-989644,20
484,mp-9918,40
485,mp-9919,47
486,mp-996965,87
487,mp-997054,46
488,mp-997082,61
489,mp-998418,74
490,mp-999337,45
491,mp-999503,262
492,mp-999542,170
493,mp-999550,132
494,mp-999558,205
495,mvc-11052,92
496,mvc-11229,224
497,mvc-11780,65
498,mvc-13158,167
499,mvc-15272,70
500,mp-1001011,188
501,mp-10020,142
502,mp-10052,116
503,mp-1007656,195
504,mp-1007778,67
505,mp-1007881,239
506,mp-1008224,203
507,mp-1008483,100
508,mp-1008506,47
509,mp-1008530,227
510,mp-1008876,138
511,mp-1008922,205
512,mp-1009770,233
513,mp-1009819,170
514,mp-1009848,237
515,mp-1013588,98
516,mp-1013712,19
517,mp-1013911,51
518,mp-1014229,96
519,mp-1014230,115
520,mp-1016902,55
521,mp-1018032,115
522,mp-1018079,80
523,mp-1018085,154
524,mp-1018124,157
525,mp-1018166,224
526,mp-1019319,245
527,mp-1019380,216
528,mp-1021503,267
529,mp-1025067,157
530,mp-1025176,91
531,mp-1025192,296
532,mp-1025220,198
533,mp-1025265,37
534,mp-1025282,50
535,mp-1025304,110
536,mp-1025313,107
537,mp-1025557,198
538,mp-1028,53
539,mp-10284,119
540,mp-10289,135
541,mp-1029404,135
542,mp-1029407,76
543,mp-1029522,75
544,mp-1029605,48
545,mp-1029737,87
546,mp-1029739,84
547,mp-1032,244
548,mp-1038724,20
549,mp-10390,129
550,mp-10440,204
551,mp-10497,46
552,mp-10615,38
553,mp-1105,67
554,mp-11147,51
555,mp-112,41
556,mp-11220,70
557,mp-11266,25
558,mp-11279,126
559,mp-11328,188
560,mp-1135,200
561,mp-11387,102
562,mp-11412,80
563,mp-11508,129
564,mp-1152,230
565,mp-11541,209
566,mp-1156,45
567,mp-11566,75
568,mp-11697,102
569,mp-11765,84
570,mp-1180,217
571,mp-11809,108
572,mp-11834,92
573,mp-1201,18
574,mp-1203,195
575,mp-1229,59
576,mp-12537,139
577,mp-12558,47
578,mp-12631,176
579,mp-12657,120
580,mp-1272,264
581,mp-12777,131
582,mp-12802,133
583,mp-12951,125
584,mp-13090,57
585,mp-13164,142
586,mp-13495,134
587,mp-13572,173
588,mp-13798,35
589,mp-13962,83
590,mp-14088,17
591,mp-1437,35
592,mp-14398,92
593,mp-1474,187
594,mp-1513,130
595,mp-1534,127
596,mp-1559,110
597,mp-15617,291
598,mp-15701,174
599,mp-15788,53
600,mp-15800,166
601,mp-15837,116
602,mp-16305,175
603,mp-16321,66
604,mp-16483,79
605,mp-16488,106
606,mp-16765,27
607,mp-1677,199
608,mp-1705,127
609,mp-1718,147
610,mp-1746,103
611,mp-17481,149
612,mp-1775,72
613,mp-182,56
614,mp-18316,69
615,mp-1851,133
616,mp-18707,70
617,mp-18762,46
618,mp-18773,59
619,mp-18793,148
620,mp-18912,44
621,mp-18949,90
622,mp-19120,64
623,mp-19141,35
624,mp-1918,197
625,mp-1938,231
626,mp-1963,220
627,mp-19746,69
628,mp-19809,161
629,mp-19833,52
630,mp-19871,76
631,mp-19917,35
632,mp-19928,96
633,mp-20061,177
634,mp-20083,111
635,mp-20144,212
636,mp-20197,180
637,mp-20265,78
638,mp-2031,137
639,mp-20533,52
640,mp-20539,56
641,mp-20565,162
642,mp-2059,162
643,mp-20619,135
644,mp-20741,240
645,mp-2075,293
646,mp-20840,168
647,mp-20847,107
648,mp-20857,303
649,mp-21092,136
650,mp-21104,113
651,mp-21117,120
652,mp-2114,160
653,mp-21249,89
654,mp-2125,23
655,mp-21286,144
656,mp-21294,53
657,mp-21359,169
658,mp-21765,97
659,mp-21873,113
660,mp-22150,132
661,mp-22216,49
662,mp-2222,113
663,mp-22240,114
664,mp-22418,94
665,mp-22463,152
666,mp-22508,151
667,mp-2251,52
668,mp-22522,147
669,mp-2254,201
670,mp-22673,107
671,mp-22793,230
672,mp-22936,53
673,mp-22950,15
674,mp-22957,33
675,mp-22977,14
676,mp-23034,31
677,mp-23141,63
678,mp-23143,42
679,mp-23159,42
680,mp-23195,21
681,mp-23237,54
682,mp-23251,22
683,mp-23339,27
684,mp-23485,11
685,mp-2360,46
686,mp-2369,101
687,mp-23703,37
688,mp-23711,48
689,mp-23797,19
690,mp-2395,89
691,mp-2426,61
692,mp-2444,180
693,mp-2490,76
694,mp-2507,16
695,mp-2542,208
696,mp-2619,94
697,mp-2675,127
698,mp-2700,63
699,mp-2701,315
700,mp-2726,83
701,mp-27319,155
702,mp-27360,135
703,mp-27505,105
704,mp-27707,16
705,mp-279,144
706,mp-2797,109
707,mp-2807,98
708,mp-28254,197
709,mp-2827,148
710,mp-2828,266
711,mp-28395,199
712,mp-2851,98
713,mp-28711,13
714,mp-28843,18
715,mp-29011,74
716,mp-29136,61
717,mp-29398,7
718,mp-29900,109
719,mp-30147,138
720,mp-30175,61
721,mp-30177,120
722,mp-30337,124
723,mp-30493,155
724,mp-30566,128
725,mp-30571,21
726,mp-30655,132
727,mp-30719,45
728,mp-30766,31
729,mp-30785,90
730,mp-31349,68
731,mp-3138,18
732,mp-3163,134
733,mp-3207,72
734,mp-321,80
735,mp-33137,256
736,mp-3522,68
737,mp-3574,124
738,mp-36086,108
739,mp-3748,159
740,mp-37906,98
741,mp-380,56
742,mp-3803,237
743,mp-3805,203
744,mp-3813,56
745,mp-3887,99
746,mp-3896,180
747,mp-3917,100
748,mp-3938,125
749,mp-4019,172
750,mp-404,46
751,mp-415,339
752,mp-4182,77
753,mp-4230,97
754,mp-4280,151
755,mp-4355,181
756,mp-4387,146
757,mp-4452,36
758,mp-4471,206
759,mp-4584,21
760,mp-4728,60
761,mp-475,59
762,mp-4820,203
763,mp-488,65
764,mp-4964,97
765,mp-4990,171
766,mp-4998,129
767,mp-504,80
768,mp-5046,36
769,mp-504691,84
770,mp-504729,15
771,mp-505780,143
772,mp-505782,22
773,mp-5076,144
774,mp-51,14
775,mp-510436,141
776,mp-5126,68
777,mp-5222,93
778,mp-531611,190
779,mp-540791,180
780,mp-541289,66
781,mp-541754,39
782,mp-5419,126
783,mp-545512,87
784,mp-545974,121
785,mp-553946,134
786,mp-5541,156
787,mp-555370,95
788,mp-557257,68
789,mp-557259,5
790,mp-557373,16
791,mp-5589,78
792,mp-559435,95
793,mp-560767,56
794,mp-5637,90
795,mp-567191,55
796,mp-567244,34
797,mp-567769,108
798,mp-568505,112
799,mp-568565,88
800,mp-568735,213
801,mp-569152,6
802,mp-569249,203
803,mp-569446,86
804,mp-569671,104
805,mp-569683,108
806,mp-570677,30
807,mp-570689,72
808,mp-570691,114
809,mp-570751,167
810,mp-570791,214
811,mp-570891,47
812,mp-571428,192
813,mp-571513,10
814,mp-5733,92
815,mp-5778,218
816,mp-581733,120
817,mp-603,129
818,mp-613162,12
819,mp-618991,93
820,mp-625136,17
821,mp-631335,87
822,mp-631388,151
823,mp-631473,52
824,mp-637179,23
825,mp-640024,144
826,mp-6408,71
827,mp-641923,8
828,mp-642750,145
829,mp-643243,11
830,mp-643989,19
831,mp-644497,23
832,mp-661,194
833,mp-670,231
834,mp-675045,30
835,mp-677072,20
836,mp-680671,61
837,mp-684969,56
838,mp-685941,42
839,mp-690794,30
840,mp-6919,82
841,mp-696166,21
842,mp-697044,44
843,mp-7017,131
844,mp-7041,65
845,mp-715482,75
846,mp-7228,277
847,mp-7343,56
848,mp-7366,40
849,mp-7377,31
850,mp-7438,24
851,mp-753490,132
852,mp-753506,62
853,mp-753669,113
854,mp-753802,137
855,mp-753826,62
856,mp-754084,26
857,mp-7544,191
858,mp-754531,107
859,mp-755018,106
860,mp-755959,38
861,mp-7589,104
862,mp-760396,216
863,mp-761872,32
864,mp-7643,14
865,mp-770649,99
866,mp-773864,165
867,mp-774411,112
868,mp-7753,140
869,mp-776150,132
870,mp-776490,228
871,mp-78,62
872,mp-7819,147
873,mp-7823,84
874,mp-7845,47
875,mp-7880,60
876,mp-7910,26
877,mp-795,52
878,mp-7964,201
879,mp-8044,227
880,mp-8126,90
881,mp-8132,22
882,mp-815,180
883,mp-8221,187
884,mp-827,20
885,mp-8399,30
886,mp-8409,80
887,mp-841,71
888,mp-842,132
889,mp-850878,81
890,mp-8566,86
891,mp-861610,253
892,mp-861961,193
893,mp-862334,152
894,mp-862620,314
895,mp-862684,147
896,mp-862700,273
897,mp-8628,49
898,mp-862871,29
899,mp-864607,136
900,mp-864770,215
901,mp-864920,117
902,mp-864938,36
903,mp-864952,48
904,mp-864954,246
905,mp-864980,218
906,mp-865001,201
907,mp-865003,216
908,mp-865011,190
909,mp-865023,204
910,mp-865026,239
911,mp-865191,227
912,mp-865212,310
913,mp-865235,130
914,mp-865469,188
915,mp-865482,239
916,mp-865641,99
917,mp-865655,222
918,mp-865664,285
919,mp-865867,129
920,mp-865869,171
921,mp-866132,22
922,mp-866134,193
923,mp-866224,208
924,mp-866279,76
925,mp-867210,13
926,mp-867243,121
927,mp-867306,129
928,mp-867350,30
929,mp-867357,284
930,mp-867775,179
931,mp-867805,15
932,mp-8756,28
933,mp-8864,199
934,mp-9061,68
935,mp-9172,80
936,mp-92,108
937,mp-9200,19
938,mp-9223,153
939,mp-9264,30
940,mp-9383,156
941,mp-950,64
942,mp-9567,36
943,mp-9586,71
944,mp-961678,93
945,mp-962071,26
946,mp-966800,58
947,mp-971911,126
948,mp-972087,130
949,mp-972987,54
950,mp-973004,206
951,mp-973181,181
952,mp-973343,34
953,mp-973534,322
954,mp-973622,5
955,mp-973983,173
956,mp-974061,176
957,mp-974335,243
958,mp-974417,200
959,mp-974832,7
960,mp-974949,16
961,mp-976023,26
962,mp-976334,36
963,mp-976893,140
964,mp-977117,134
965,mp-977443,213
966,mp-977462,149
967,mp-978267,88
968,mp-978268,51
969,mp-978275,184
970,mp-978290,85
971,mp-978304,64
972,mp-978496,138
973,mp-979423,54
974,mp-980203,308
975,mp-981749,110
976,mp-982885,31
977,mp-984240,21
978,mp-984699,12
979,mp-985439,57
980,mp-989513,102
981,mp-989523,8
982,mp-989550,22
983,mp-989573,25
984,mp-989579,20
985,mp-989695,142
986,mp-990084,13
987,mp-9951,180
988,mp-996980,91
989,mp-997108,28
990,mp-998196,30
991,mp-9983,81
992,mp-998913,14
993,mp-999473,164
994,mp-999576,232
995,mvc-11686,42
996,mvc-11730,205
997,mvc-15521,167
998,mvc-15848,78
999,mvc-15861,22
1000,mp-1001826,225
1001,mp-1002188,294
1002,mp-1002572,110
1003,mp-1003637,130
1004,mp-10037,234
1005,mp-1006226,38
1006,mp-1007693,302
1007,mp-1007776,14
1008,mp-1008873,89
1009,mp-1008874,112
1010,mp-1009592,105
1011,mp-1013553,27
1012,mp-1013558,37
1013,mp-1016873,136
1014,mp-1016903,182
1015,mp-1017,134
1016,mp-1017529,297
1017,mp-1017591,147
1018,mp-1018026,44
1019,mp-1018101,187
1020,mp-1018149,115
1021,mp-1018649,378
1022,mp-1018652,33
1023,mp-1018712,79
1024,mp-1018849,321
1025,mp-1019279,43
1026,mp-1019508,178
1027,mp-10213,58
1028,mp-10214,145
1029,mp-1021489,178
1030,mp-1024067,30
1031,mp-1025151,75
1032,mp-1025161,164
1033,mp-1025182,60
1034,mp-1025187,186
1035,mp-1025224,84
1036,mp-1025258,150
1037,mp-1025270,181
1038,mp-1025301,141
1039,mp-1025302,164
1040,mp-1025311,199
1041,mp-1025339,126
1042,mp-1029293,104
1043,mp-1029338,148
1044,mp-1029395,85
1045,mp-1029616,41
1046,mp-1029640,48
1047,mp-10381,17
1048,mp-1039141,58
1049,mp-1039147,57
1050,mp-1039383,25
1051,mp-1039385,17
1052,mp-1039434,40
1053,mp-1050,115
1054,mp-10636,25
1055,mp-10649,85
1056,mp-10667,56
1057,mp-1068,77
1058,mp-10680,38
1059,mp-10697,82
1060,mp-10700,176
1061,mp-10761,79
1062,mp-1077,286
1063,mp-10844,121
1064,mp-10878,90
1065,mp-10953,69
1066,mp-1114,171
1067,mp-11181,47
1068,mp-11191,181
1069,mp-11290,43
1070,mp-11299,37
1071,mp-11361,63
1072,mp-11453,179
1073,mp-11464,41
1074,mp-11465,43
1075,mp-1147,171
1076,mp-11490,38
1077,mp-11501,174
1078,mp-11513,209
1079,mp-11537,231
1080,mp-11658,55
1081,mp-11770,72
1082,mp-11818,40
1083,mp-11824,63
1084,mp-12083,307
1085,mp-12266,77
1086,mp-12595,266
1087,mp-12693,65
1088,mp-12700,250
1089,mp-12760,106
1090,mp-12769,85
1091,mp-12781,107
1092,mp-12814,27
1093,mp-12854,47
1094,mp-12884,76
1095,mp-12954,114
1096,mp-12961,93
1097,mp-13053,50
1098,mp-131,94
1099,mp-1314,36
1100,mp-1339,313
1101,mp-13434,106
1102,mp-13450,101
1103,mp-13641,150
1104,mp-13852,175
1105,mp-13853,170
1106,mp-13900,104
1107,mp-13963,31
1108,mp-13992,21
1109,mp-140,49
1110,mp-14018,14
1111,mp-14433,135
1112,mp-14587,63
1113,mp-1475,141
1114,mp-1476,101
1115,mp-1509,17
1116,mp-1521,110
1117,mp-1522,150
1118,mp-1558,80
1119,mp-1570,92
1120,mp-16334,187
1121,mp-1638,48
1122,mp-16495,239
1123,mp-16521,204
1124,mp-16522,112
1125,mp-1670,168
1126,mp-16755,19
1127,mp-16775,100
1128,mp-1682,118
1129,mp-1687,71
1130,mp-16886,92
1131,mp-16913,29
1132,mp-17,250
1133,mp-17095,12
1134,mp-1734,61
1135,mp-1743,145
1136,mp-1794,156
1137,mp-1883,40
1138,mp-18918,142
1139,mp-18919,153
1140,mp-19050,133
1141,mp-19128,130
1142,mp-19231,41
1143,mp-19279,104
1144,mp-1932,223
1145,mp-1936,176
1146,mp-19413,206
1147,mp-19814,114
1148,mp-19850,195
1149,mp-19877,144
1150,mp-19983,103
1151,mp-20049,80
1152,mp-2018,174
1153,mp-20327,131
1154,mp-20440,146
1155,mp-2052,84
1156,mp-20541,207
1157,mp-20551,180
1158,mp-20599,66
1159,mp-20697,135
1160,mp-20805,65
1161,mp-2089,21
1162,mp-20952,128
1163,mp-20971,201
1164,mp-21096,45
1165,mp-21260,100
1166,mp-21318,72
1167,mp-21449,238
1168,mp-21505,66
1169,mp-2168,28
1170,mp-2182,160
1171,mp-21893,49
1172,mp-22270,193
1173,mp-22271,20
1174,mp-22275,108
1175,mp-22325,46
1176,mp-22367,84
1177,mp-22400,54
1178,mp-22535,167
1179,mp-22558,132
1180,mp-22607,27
1181,mp-2263,220
1182,mp-22691,11
1183,mp-22895,36
1184,mp-22913,43
1185,mp-2293,55
1186,mp-22939,26
1187,mp-22967,20
1188,mp-23072,16
1189,mp-23152,29
1190,mp-2339,166
1191,mp-2349,56
1192,mp-23499,12
1193,mp-23560,51
1194,mp-23704,19
1195,mp-23712,61
1196,mp-24084,14
1197,mp-24668,19
1198,mp-250,42
1199,mp-25082,3
1200,mp-253,142
1201,mp-2536,250
1202,mp-255,17
1203,mp-258,140
1204,mp-2589,129
1205,mp-27296,105
1206,mp-27393,20
1207,mp-27418,40
1208,mp-2744,79
1209,mp-27454,27
1210,mp-27488,241
1211,mp-27577,35
1212,mp-27668,45
1213,mp-2780,88
1214,mp-2783,215
1215,mp-28084,12
1216,mp-28171,18
1217,mp-2824,158
1218,mp-284,179
1219,mp-2853,209
1220,mp-2856,125
1221,mp-29484,15
1222,mp-29584,20
1223,mp-29623,32
1224,mp-29661,181
1225,mp-29806,10
1226,mp-29809,77
1227,mp-2988,59
1228,mp-30301,27
1229,mp-30357,21
1230,mp-30362,92
1231,mp-30392,72
1232,mp-30443,152
1233,mp-30461,84
1234,mp-30483,32
1235,mp-30485,22
1236,mp-30551,191
1237,mp-30570,252
1238,mp-30580,53
1239,mp-30587,97
1240,mp-30656,147
1241,mp-30673,91
1242,mp-30684,112
1243,mp-30778,71
1244,mp-30836,214
1245,mp-30884,71
1246,mp-3102,43
1247,mp-31145,37
1248,mp-31184,117
1249,mp-31326,40
1250,mp-3142,8
1251,mp-3155,178
1252,mp-316,243
1253,mp-31900,133
1254,mp-3255,95
1255,mp-331,78
1256,mp-33997,183
1257,mp-3405,153
1258,mp-3441,156
1259,mp-3654,46
1260,mp-36884,128
1261,mp-37091,23
1262,mp-374,252
1263,mp-3849,26
1264,mp-3988,75
1265,mp-42,195
1266,mp-432,237
1267,mp-4382,225
1268,mp-4563,146
1269,mp-473,13
1270,mp-4744,83
1271,mp-4823,46
1272,mp-485,170
1273,mp-4901,62
1274,mp-4913,125
1275,mp-4955,192
1276,mp-504974,141
1277,mp-510625,155
1278,mp-5238,75
1279,mp-527,23
1280,mp-5409,132
1281,mp-541899,14
1282,mp-543001,104
1283,mp-544,169
1284,mp-546500,27
1285,mp-5478,141
1286,mp-553432,14
1287,mp-554212,54
1288,mp-554462,138
1289,mp-555576,23
1290,mp-556,138
1291,mp-556076,88
1292,mp-556242,134
1293,mp-558078,57
1294,mp-5590,60
1295,mp-559612,25
1296,mp-561511,143
1297,mp-561894,121
1298,mp-5671,85
1299,mp-567220,124
1300,mp-567510,33
1301,mp-567652,19
1302,mp-567657,34
1303,mp-567666,25
1304,mp-568137,21
1305,mp-568280,64
1306,mp-568346,38
1307,mp-568430,95
1308,mp-568436,61
1309,mp-568598,18
1310,mp-568695,42
1311,mp-568696,213
1312,mp-568748,173
1313,mp-568961,77
1314,mp-569310,84
1315,mp-569511,120
1316,mp-569516,169
1317,mp-569624,190
1318,mp-569679,11
1319,mp-570017,111
1320,mp-570430,222
1321,mp-570604,347
1322,mp-570673,159
1323,mp-570963,243
1324,mp-571270,24
1325,mp-571343,41
1326,mp-571648,13
1327,mp-5749,49
1328,mp-579496,214
1329,mp-580287,99
1330,mp-580886,22
1331,mp-5821,75
1332,mp-582360,200
1333,mp-5924,191
1334,mp-597,151
1335,mp-6008,154
1336,mp-601285,158
1337,mp-607475,89
1338,mp-612740,19
1339,mp-614603,7
1340,mp-622570,133
1341,mp-623024,10
1342,mp-625,107
1343,mp-625054,114
1344,mp-628606,9
1345,mp-631316,17
1346,mp-631525,22
1347,mp-634,8
1348,mp-639874,162
1349,mp-643260,23
1350,mp-644271,22
1351,mp-649479,36
1352,mp-6613,138
