material_id,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NValence,MagpieData avg_dev NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev GSbandgap,avg ionic char,elasticity.K_VRH predicted
mp-972522,17.75,30.0,23.0,69.0,49.5,19.5,69.0,112.5135525,692.68,1818.0,1125.3200000000002,1137.09,444.41,692.68,3.0,158.0,36.0,1.17,1.43,1.65,0.0,5.0,11.75,0.0,0.0,0.0,2.25,0.0,33.23,22.7325,8.772499999999999,13.96,0.0,0.011997804783879747,55.35985714285715
mp-21090,2.444444444444444,25.0,52.0,79.0,64.0,10.0,52.0,62.09048166666667,1211.4,1728.0,516.5999999999999,1486.1333333333332,183.15555555555557,1211.4,7.0,127.66666666666667,7.555555555555557,1.55,1.8233333333333333,1.55,0.6666666666666666,7.666666666666667,10.333333333333334,1.777777777777778,2.3333333333333335,2.0,3.6666666666666665,2.0,23.005,14.604195402299998,5.600536398466666,10.32,0.1702222222222222,0.009544751717819173,146.18215238095243
mp-12553,17.25,13.0,17.0,73.0,59.0,21.0,73.0,55.46306645,933.47,1204.0,270.53,1001.1025,101.44874999999996,933.47,3.0,141.5,30.75,1.13,1.49,1.61,0.75,0.0,3.5,1.875,0.0,5.0,6.5,5.0,35.675,21.27875,7.198124999999998,16.48,0.0,0.010494846952905833,67.4022619047619
mp-190,25.125,8.0,54.0,87.0,78.75,12.375,87.0,58.5513,54.8,3459.0,3404.2,905.85,1276.575,54.8,7.0,87.25,31.875,1.9,3.055,3.44,3.0,1.25,9.75,0.75,1.25,2.0,2.75,2.0,14.655,10.4925,2.0812499999999994,9.105,0.0,0.08386461294311365,188.21297970362966
mp-13117,11.0,7.0,64.0,82.0,73.0,9.0,64.0,38.77635,63.05,1357.77,1294.72,710.41,647.36,63.05,11.0,101.5,30.5,1.9,2.4699999999999998,1.9,1.5,5.0,8.0,1.5,0.0,1.0,2.0,1.0,14.76875,12.919375,1.8493750000000002,11.07,3.2185,0.06935009750245161,138.9730952380951
mp-1029779,12.0,7.0,69.0,82.0,78.0,4.5,82.0,41.50834999999999,63.05,1211.4,1148.3500000000001,507.54499999999996,444.495,63.05,12.0,96.0,25.0,1.65,2.435,3.04,2.0,5.0,9.0,1.25,0.0,0.0,2.5,3.0,23.005,16.625625,3.189687499999999,14.76875,3.12275,0.07899907789567642,146.60871764705877
mp-20229,16.88,62.0,23.0,77.0,44.2,25.44,23.0,115.58174000000001,429.75,3823.0,3393.25,1657.55,866.18,1345.0,3.0,162.4,42.72,1.17,1.568,1.17,0.6,2.0,8.2,2.16,0.0,4.0,6.6,8.0,33.23,25.918,8.774399999999996,33.23,1.4387200000000002,0.0616258668393471,55.212685714285726
mp-2478,12.0,14.0,47.0,78.0,67.66666666666667,13.777777777777777,78.0,49.692460000000004,1687.0,2750.0,1063.0,2041.3333333333333,472.4444444444444,1687.0,5.0,128.66666666666666,23.555555555555554,1.6,1.8,1.9,1.3333333333333333,1.3333333333333333,4.333333333333333,1.777777777777778,2.0,4.0,5.0,4.0,20.44,19.686666666666667,1.0044444444444451,20.44,0.3435555555555556,0.004944169512591924,174.48196190476193
mp-867177,13.25,80.0,17.0,71.0,57.25,20.125,71.0,163.6246625,234.32,1204.0,969.6800000000001,566.715,332.395,234.32,3.0,152.75,25.125,1.13,1.705,2.0,0.0,7.5,17.25,0.0,0.0,0.0,2.75,0.0,35.675,26.41129310345,4.631853448274998,25.2375862069,0.0,0.029230145502142584,52.214649206349186
mp-989609,23.76,7.0,12.0,82.0,61.8,24.240000000000002,82.0,62.953190000000006,63.05,3695.0,3631.95,1136.6299999999999,1288.2959999999998,63.05,3.0,113.0,50.4,1.22,2.54,3.04,1.8,1.0,7.6,1.44,3.0,3.0,4.8,3.0,32.365,18.54425,5.528300000000001,14.76875,3.0897600000000005,0.09177080934028856,195.33282041847053
mp-755021,25.125,8.0,54.0,87.0,78.75,12.375,87.0,58.5513,54.8,3459.0,3404.2,905.85,1276.575,54.8,7.0,87.25,31.875,1.9,3.055,3.44,3.0,1.25,9.75,0.75,1.25,2.0,2.75,2.0,14.655,10.4925,2.0812499999999994,9.105,0.0,0.08386461294311365,188.21297970362966
mp-30844,21.25,78.0,11.0,80.0,54.25,21.625,63.0,138.458478,505.08,2041.4,1536.3200000000002,1600.47,547.695,2041.4,3.0,145.25,12.375,1.36,1.97,2.28,0.5,7.25,16.25,1.5,2.75,2.0,4.25,2.0,33.285,21.39,6.369999999999999,15.02,0.0,0.03237764469890747,127.44510606060612
mp-11228,13.0,13.0,12.0,73.0,42.5,30.5,12.0,57.943694300000004,933.47,1799.0,865.53,1366.2350000000001,432.765,933.47,3.0,155.5,34.5,1.22,1.415,1.22,0.5,0.5,3.0,2.5,4.5,5.0,7.0,5.0,32.365,24.4225,7.942500000000001,16.48,0.0,0.009327781657869377,65.24689999999998
mp-7787,26.666666666666668,8.0,45.0,88.0,73.33333333333333,18.88888888888889,45.0,75.51813333333334,54.8,2506.0,2451.2,983.0533333333334,1015.2977777777779,54.8,4.0,115.33333333333333,39.77777777777778,1.3,2.44,1.3,2.6666666666666665,0.6666666666666666,10.0,0.888888888888889,2.6666666666666665,2.0,4.0,2.0,25.786875,19.030625,6.6170833333333325,9.105,0.9786666666666667,0.13184901071722052,142.01421612831604
mp-1447,14.0,34.0,23.0,89.0,56.0,33.0,23.0,114.66,494.0,1345.0,851.0,919.5,425.5,494.0,3.0,159.0,39.0,1.17,1.8599999999999999,1.17,2.0,5.0,12.0,1.0,0.0,2.0,5.0,2.0,33.23,29.575,3.6549999999999976,25.92,0.3995,0.0946996602486373,70.0644738095238
mp-19880,11.555555555555555,52.0,55.0,90.0,78.33333333333333,15.555555555555557,90.0,103.68166666666666,722.66,1811.0,1088.3400000000001,1085.4399999999998,483.70666666666665,722.66,8.0,136.0,2.6666666666666665,1.83,2.0100000000000002,2.1,2.6666666666666665,8.666666666666666,13.333333333333334,0.888888888888889,1.3333333333333333,2.0,2.6666666666666665,2.0,34.7633333333,26.7522222222,10.681481481466664,34.7633333333,0.20622222222222222,0.0020066587794325868,60.15591190476187
mp-29761,20.653061224489797,8.0,20.0,87.0,76.0,16.0,87.0,47.14808714285714,54.8,3823.0,3768.2,786.4285714285714,1045.1836734693877,54.8,3.0,86.0,31.428571428571427,1.38,3.0185714285714282,3.44,3.142857142857143,0.14285714285714285,5.714285714285714,0.5714285714285714,1.2857142857142858,2.0,4.857142857142857,2.0,20.025,10.17,2.815714285714285,9.105,1.101061224489796,0.09096620781738404,83.28246500721505
mp-855,1.0612244897959182,4.0,67.0,68.0,67.07142857142857,0.13265306122448806,67.0,10.104526142857141,923.0,1560.0,637.0,1514.5,84.5,1560.0,2.0,99.21428571428571,5.969387755102035,1.31,1.5514285714285714,1.57,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.89,8.961428571428572,1.9897959183673477,7.89,0.0,0.0011114997400493852,113.32301904761907
mp-1029349,10.320987654320987,39.0,12.0,89.0,53.22222222222222,36.641975308641975,12.0,68.94631111111113,63.05,1799.0,1735.95,978.2333333333333,729.5703703703704,1799.0,3.0,140.22222222222223,44.24691358024691,1.22,2.0677777777777777,1.22,2.0,3.7777777777777777,7.777777777777778,1.1851851851851851,4.0,2.0,5.333333333333333,9.0,32.365,26.30638888888889,5.385432098765432,32.365,2.1067654320987654,0.1128798163515033,93.39677857142861
mp-9843,10.518518518518517,15.0,8.0,83.0,55.77777777777778,31.851851851851848,83.0,48.96868057777778,317.3,1050.0,732.7,698.46,338.8088888888889,317.3,2.0,139.44444444444446,37.03703703703704,0.95,1.6477777777777778,2.19,1.5555555555555556,0.0,3.5555555555555554,1.6296296296296295,0.0,0.0,2.4444444444444446,3.0,54.23,31.77010582008889,14.973262786607405,22.5702380952,0.802469135802469,0.06288958691632143,48.89639047619046
mp-989563,14.920000000000002,17.0,2.0,94.0,65.0,37.0,94.0,61.102666928000005,171.6,577.0,405.4,260.239,106.36679999999998,171.6,1.0,136.3,41.160000000000004,0.82,2.315,3.16,3.1,1.0,7.2,0.78,0.0,1.0,1.4,1.0,90.7225,38.458333333329996,20.905666666667997,24.4975,1.19664,0.16314280974356238,21.067009523809514
mp-20920,6.0,49.0,29.0,75.0,63.5,17.25,75.0,125.84483750000001,429.75,1629.0,1199.25,729.5625,449.71875,429.75,3.0,155.0,19.5,1.21,1.6375,1.78,0.75,7.5,12.5,1.875,0.0,5.0,5.0,5.0,31.7366666667,26.129166666675,2.8037500000124993,24.26,0.0,0.020469096631067094,59.04120714285714
mp-1240,25.5,16.0,33.0,88.0,60.5,27.5,33.0,98.49766,388.36,1747.0,1358.6399999999999,1067.68,679.3199999999999,388.36,3.0,148.5,43.5,1.23,1.905,1.23,2.0,0.0,9.5,1.0,0.0,2.0,2.5,2.0,30.7333333333,28.26010416665,2.4732291666500004,25.786875,1.101,0.09148710953548311,100.04206190476184
mp-568725,16.48,5.0,31.0,72.0,57.0,12.0,55.0,59.162400000000005,1685.0,2348.0,663.0,2000.6,277.91999999999996,1811.0,3.0,124.8,32.64,1.22,1.7920000000000003,1.83,0.4,2.4,6.8,2.4,1.6,4.0,4.4,4.0,31.24,13.409,7.1324,7.1725,0.7315200000000001,0.021239109645907733,127.45160476190475
mp-1009834,13.777777777777777,13.0,56.0,73.0,67.33333333333333,7.555555555555557,73.0,51.67769239999999,933.47,2607.0,1673.53,1491.3133333333335,743.7911111111111,933.47,8.0,129.33333333333334,11.111111111111114,1.61,1.8066666666666666,1.61,0.6666666666666666,2.3333333333333335,4.666666666666667,2.222222222222222,1.0,4.0,4.666666666666667,5.0,16.48,15.49,1.3200000000000003,16.48,0.0,0.018521293557284293,166.21602380952382
mp-554601,11.52,9.0,4.0,93.0,69.4,28.32,93.0,41.20180192,53.5,1357.77,1304.27,366.146,396.6496,53.5,1.0,104.6,57.120000000000005,0.82,2.932,3.98,3.0,2.0,6.6,0.4800000000000001,0.0,1.0,1.0,1.0,90.7225,26.183,25.815800000000003,9.7075,0.9456,0.19954527054374666,45.25714761904763
mp-27478,12.444444444444443,9.0,2.0,93.0,64.0,38.666666666666664,93.0,37.66603278666667,53.5,1845.0,1791.5,282.13416666666666,304.84555555555556,53.5,1.0,96.16666666666667,52.22222222222223,0.93,3.0108333333333337,3.98,3.3333333333333335,0.08333333333333333,5.333333333333333,0.4444444444444445,0.75,1.0,2.6666666666666665,1.0,29.2433333333,15.880833333325,8.2311111111,9.7075,0.8755555555555556,0.19562177153257204,70.80688809523807
mp-33365,17.52,8.0,15.0,87.0,70.0,22.0,87.0,51.56744,54.8,1071.0,1016.2,307.662,305.3352,54.8,3.0,104.8,46.56,1.12,2.65,3.44,2.6,2.2,7.0,1.12,1.8,2.0,6.6,2.0,37.24,16.6825,9.093,9.105,0.0,0.1514818947546683,160.22658492063493
mp-1239,9.75,51.0,60.0,85.0,78.75,9.375,85.0,139.37425000000002,903.78,2739.0,1835.22,1362.585,688.2075,903.78,9.0,139.5,0.75,2.05,2.0875,2.05,2.25,9.25,17.0,1.125,0.75,3.0,3.0,3.0,31.56,27.222499999999997,6.5062500000000005,31.56,0.0,0.0007011511636148965,102.53151904761906
mp-862378,20.0,21.0,11.0,66.0,35.25,24.25,11.0,96.21959824999999,1337.33,2430.0,1092.67,1848.8325,290.58375,1814.0,3.0,155.75,14.25,1.36,1.79,1.36,0.0,4.25,9.5,0.0,5.75,1.0,6.0,9.0,22.235,18.86375,3.37125,22.235,0.0,0.05161796616817935,115.6159714285714
mp-12931,26.444444444444446,8.0,23.0,87.0,69.83333333333333,22.88888888888889,87.0,65.88424666666667,54.8,3290.0,3235.2,809.0333333333333,1005.6444444444445,54.8,3.0,105.33333333333333,52.444444444444436,1.17,2.7383333333333333,3.44,2.6666666666666665,0.5,8.5,0.888888888888889,1.1666666666666667,2.0,3.8333333333333335,2.0,33.23,14.628333333333332,7.364444444444444,9.105,0.0,0.14896424266024622,150.64546896436886
mp-865490,1.0,23.0,46.0,55.0,49.0,3.0,46.0,52.431025,1811.0,2183.0,372.0,2089.25,139.125,2183.0,5.0,144.25,8.75,1.63,1.6875,1.63,0.0,4.25,6.0,0.0,5.75,4.0,6.0,7.0,13.01,11.985,1.025,13.01,0.0,0.0017218277695524586,208.3596333333334
mp-23714,16.444444444444443,1.0,8.0,92.0,64.0,37.333333333333336,92.0,29.878626666666666,14.01,1050.0,1035.99,359.34,460.44000000000005,14.01,1.0,85.66666666666667,72.8888888888889,0.95,1.7833333333333334,2.2,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.0,54.23,22.486666666666665,21.162222222222223,6.615,3.490222222222222,0.07185914529739358,40.12960714285719
mp-12004,22.285714285714285,13.0,35.0,78.0,63.57142857142857,16.3265306122449,73.0,67.37623082857142,933.47,1770.0,836.53,1387.7728571428572,389.40244897959184,933.47,3.0,137.57142857142858,29.38775510204082,1.24,1.587142857142857,1.61,1.0,0.0,6.428571428571429,1.8775510204081634,0.0,2.0,3.857142857142857,5.0,30.585,21.641428571428573,5.110612244897959,16.48,0.31551020408163266,0.01509037572277434,85.56020952380956
mp-29327,18.0,8.0,23.0,95.0,68.33333333333333,30.222222222222225,23.0,82.0878,54.8,1345.0,1290.2,555.1999999999999,526.5333333333333,54.8,3.0,128.0,46.666666666666664,1.17,2.5233333333333334,1.17,3.0,3.3333333333333335,10.333333333333334,0.6666666666666666,0.0,1.0,3.6666666666666665,1.0,33.23,23.938333333333333,9.888888888888888,9.105,0.6475555555555556,0.14792711739686026,31.904935714285727
mp-12985,16.166666666666668,5.0,17.0,77.0,59.0,14.666666666666666,58.0,48.73445666666667,1204.0,3823.0,2619.0,2209.8333333333335,629.8333333333334,1768.0,3.0,116.5,35.166666666666664,1.13,1.92,1.88,0.6666666666666666,2.3333333333333335,5.5,2.333333333333333,1.0,3.0,5.166666666666667,3.0,35.675,12.691666666666665,7.661111111111109,7.1725,1.2573333333333334,0.0404081366228287,169.7910761904763
mp-2572,11.555555555555557,12.0,8.0,68.0,48.0,26.666666666666668,68.0,45.410000000000004,923.0,1050.0,127.0,965.3333333333334,56.44444444444446,923.0,2.0,159.0,24.0,0.95,1.1900000000000002,1.31,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.23,33.336666666666666,13.928888888888887,22.89,0.0,0.007084609574097165,24.6805380952381
mp-977126,16.5,3.0,1.0,65.0,17.0,24.0,1.0,32.1728,453.69,1234.93,781.24,649.0,292.96500000000003,453.69,1.0,132.25,6.375,0.98,1.2175,0.98,0.0,2.5,3.5,0.0,0.0,1.0,1.0,1.0,16.5933333333,16.527499999975,0.09874999998749967,16.5933333333,0.0,0.0378717558655566,31.977399999999996
mp-9195,13.0,9.0,9.0,93.0,63.75,27.375,9.0,74.70785079999999,53.5,1357.77,1304.27,726.3175,452.5675,53.5,2.0,131.0,42.5,0.89,2.33,0.89,2.25,5.0,9.0,0.75,0.0,0.0,1.0,0.0,63.59,27.571875,18.0090625,9.7075,0.69225,0.1745310659623245,55.41145714285715
