material_id,MagpieData minimum Number,MagpieData maximum Number,MagpieData mode Number,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData avg_dev Row,MagpieData mode Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean SpaceGroupNumber,std_dev oxidation state,elasticity.G_VRH predicted
mp-12951,31.0,79.0,31.0,74.0,30.0,61.333333333333336,11.555555555555555,51.774697333333336,302.91,2128.0,1825.09,1256.08,635.4466666666666,302.91,9.333333333333334,3.5555555555555554,0.6666666666666666,4.0,175.0,53.0,144.33333333333334,122.0,1.33,1.21,1.8933333333333333,1.33,10.0,7.333333333333333,3.555555555555556,14.0,7.333333333333333,1.6666666666666667,2.6666666666666665,1.0,4.666666666666667,2.444444444444444,1.0,23.195,19.584166666666665,2.4072222222222215,16.7,0.0,161.0,0.0,46.29027787759756
mp-676586,11.0,23.0,16.0,88.0,86.0,63.714285714285715,27.755102040816325,8.445529038367345,370.87,2183.0,1812.13,898.6157142857143,733.9338775510205,388.36,10.714285714285714,6.040816326530612,0.4081632653061224,3.0,166.0,61.0,127.42857142857143,105.0,0.93,1.65,2.072857142857143,2.58,3.0,0.8571428571428571,1.2244897959183674,5.0,1.1428571428571428,1.1428571428571428,2.0,1.0,3.2857142857142856,2.122448979591837,2.0,29.2433333333,22.630119047614283,5.497210884351021,25.786875,1.2582857142857142,138.14285714285714,3.276176633414831,36.17815883787157
mp-3597,8.0,56.0,8.0,87.0,78.0,65.2,26.160000000000004,49.535568,54.8,2607.0,2552.2,754.28,839.376,54.8,11.6,5.279999999999999,1.6799999999999997,2.0,215.0,149.0,111.8,66.0,0.89,2.55,2.682,3.44,7.0,1.4,2.2399999999999998,5.6,1.4400000000000002,1.2,0.6,0.0,2.0,0.8,2.0,63.59,20.883000000000003,17.082800000000002,9.105,0.0,91.8,3.3806170189140663,64.26191821873019
mp-9615,3.0,22.0,16.0,88.0,87.0,55.0,33.0,11.39675,388.36,1941.0,1552.6399999999999,792.8525,574.07375,388.36,9.25,6.75,0.5,3.0,160.0,55.0,124.5,105.0,0.98,1.6,1.92,2.58,2.0,0.5,0.75,4.25,1.75,1.0,2.0,1.0,3.25,2.375,2.0,25.786875,21.214270833325,4.572604166674999,25.786875,1.101,140.75,2.6832815729997477,41.57830715528846
mvc-15521,8.0,47.0,8.0,87.0,75.0,67.6,23.28,39.54606,54.8,1799.0,1744.2,639.666,701.8392000000001,54.8,12.4,4.32,1.44,2.0,190.0,124.0,106.6,66.0,1.22,2.2199999999999998,2.694,3.44,10.0,2.2,3.12,6.4,1.8400000000000003,1.2,1.8,1.0,3.2,2.3200000000000003,2.0,32.365,15.202000000000002,7.3164,9.105,0.0,91.0,3.2732683535398857,55.83509225774623
mp-14116,8.0,45.0,8.0,87.0,28.0,74.25,12.75,33.613175,54.8,2237.0,2182.2,926.0925,871.2925,54.8,13.0,3.0,1.25,2.0,142.0,76.0,101.5,66.0,1.9,1.54,2.7649999999999997,3.44,10.0,4.5,4.5,8.0,2.0,1.0,0.5,1.0,2.0,0.5,2.0,13.64,10.73,1.625,9.105,0.0,118.5,2.6832815729997477,42.284502848348595
mp-30684,31.0,40.0,40.0,74.0,30.0,56.0,14.4,10.32048,302.91,2128.0,1825.09,1397.964,876.0432000000001,2128.0,7.6,4.32,0.4800000000000001,5.0,175.0,53.0,153.8,175.0,1.33,0.48,1.522,1.33,10.0,5.2,3.8400000000000007,7.6,4.32,2.0,4.8,5.0,6.8,1.44,8.0,23.195,21.46,2.0819999999999994,23.195,0.0,142.0,0.0,57.59040869306657
mp-27693,5.0,21.0,5.0,77.0,66.0,61.8,20.32,10.73441984,1814.0,3823.0,2009.0,2831.2,793.4399999999999,2348.0,11.4,3.3599999999999994,0.6399999999999999,2.0,170.0,94.0,98.0,76.0,1.36,1.1899999999999997,2.1079999999999997,2.04,1.0,0.2,0.32,3.4,0.48,3.6,1.8,4.0,5.4,1.4400000000000002,4.0,22.235,9.572,5.065199999999999,5.64,2.4080000000000004,182.8,4.107919181288746,152.3103466978309
mp-690760,1.0,22.0,1.0,92.0,49.0,67.5,24.5,23.42953,14.01,1941.0,1926.99,977.505,963.495,14.01,2.5,1.5,1.5,1.0,160.0,129.0,95.5,31.0,1.54,0.6600000000000001,1.87,1.54,2.0,1.0,1.0,2.5,1.5,0.0,4.0,1.0,4.5,3.5,1.0,16.69,11.6525,5.0375000000000005,6.615,3.9265,194.0,0.0,63.55103806008065
mp-6912,25.0,51.0,25.0,85.0,33.0,63.0,14.666666666666666,29.698646666666672,903.78,1519.0,615.22,1313.9266666666665,273.4311111111112,1519.0,9.666666666666666,3.5555555555555554,0.44444444444444436,4.0,139.0,0.0,139.0,139.0,1.55,0.4999999999999998,1.7166666666666668,1.55,10.0,6.666666666666667,2.2222222222222223,9.666666666666666,3.5555555555555554,1.0,3.3333333333333335,3.0,4.333333333333333,0.888888888888889,5.0,31.56,17.51172413793333,9.365517241377777,10.4875862069,0.0,200.0,0.0,38.072187883258
mp-866022,48.0,78.0,78.0,70.0,7.0,64.75,2.625,31.002375,594.22,2041.4,1447.18,1679.6050000000002,542.6924999999999,2041.4,10.5,0.75,0.375,6.0,144.0,8.0,138.0,136.0,1.69,0.5899999999999999,2.1325,2.28,10.0,9.25,0.375,21.0,4.5,0.0,0.75,0.0,1.5,0.75,2.0,19.495,16.13875,1.6781250000000014,15.02,0.0,217.25,2.5298221281347035,61.57158631561405
mp-758835,8.0,29.0,8.0,87.0,85.0,72.13333333333334,15.857777777777779,22.449548305066667,54.8,1357.77,1302.97,597.0593333333333,608.5685333333332,54.8,13.0,3.2,0.9244444444444445,2.0,166.0,100.0,99.06666666666666,66.0,0.93,2.51,2.6566666666666663,3.44,10.0,4.0,4.8,7.666666666666667,2.6666666666666665,1.0666666666666667,0.0,1.0,1.5333333333333334,0.49777777777777776,2.0,29.2433333333,11.233555555553334,2.401303703699556,9.105,0.0,111.66666666666667,2.75783135866153,25.103975310422168
mp-1029474,7.0,20.0,20.0,82.0,75.0,44.214285714285715,37.214285714285715,12.035381632653062,63.05,1687.0,1623.95,705.0214285714285,550.261224489796,1115.0,8.428571428571429,6.428571428571429,0.9285714285714286,4.0,176.0,105.0,126.35714285714286,176.0,1.0,2.04,1.9385714285714286,1.0,0.0,0.0,0.0,3.4285714285714284,1.4285714285714286,1.5714285714285714,0.0,0.0,1.5714285714285714,1.5714285714285714,0.0,37.77,26.67446428571429,11.095535714285717,37.77,2.813928571428572,211.85714285714286,3.531674853766591,36.92178660736337
mp-613,46.0,52.0,46.0,90.0,28.0,73.2,13.440000000000001,10.1664,722.66,1828.05,1105.3899999999999,1385.8939999999998,530.5872,1828.05,12.4,2.88,0.0,5.0,139.0,1.0,138.6,139.0,2.1,0.10000000000000009,2.16,2.2,10.0,10.0,0.0,12.4,2.88,0.8,0.0,0.0,0.8,0.9600000000000002,0.0,34.7633333333,22.55133333332,9.769599999983999,14.41,0.18560000000000001,195.8,0.0,24.53843533433327
mp-1441,8.0,55.0,8.0,87.0,82.0,59.666666666666664,36.44444444444445,51.95824528888889,54.8,301.59,246.78999999999996,137.0633333333333,109.68444444444442,54.8,11.0,6.666666666666667,1.777777777777778,2.0,244.0,178.0,125.33333333333333,66.0,0.79,2.65,2.5566666666666666,3.44,0.0,0.0,0.0,4.333333333333333,2.2222222222222223,1.3333333333333333,0.0,1.0,1.6666666666666667,0.4444444444444444,2.0,115.765,44.65833333333333,47.40444444444444,9.105,0.0,84.33333333333333,0.0,11.355590552845992
mp-16304,15.0,78.0,15.0,83.0,71.0,52.666666666666664,27.111111111111114,60.064086222222215,317.3,2041.4,1724.1000000000001,1385.9000000000003,712.4,317.3,9.333333333333334,4.222222222222222,1.111111111111111,3.0,190.0,83.0,144.33333333333334,107.0,1.22,1.0599999999999998,1.8966666666666665,1.22,9.0,3.3333333333333335,3.7777777777777772,10.666666666666666,8.888888888888888,1.0,3.3333333333333335,2.0,4.666666666666667,2.8888888888888893,2.0,32.365,23.3184126984,6.031058201066667,15.02,0.5416666666666666,140.33333333333334,2.6457513110645907,57.31042148184119
mp-558694,9.0,55.0,9.0,93.0,88.0,67.8,30.24,36.18087492,53.5,1811.0,1757.5,454.61800000000005,542.5528,53.5,12.0,6.0,1.44,2.0,244.0,187.0,109.4,57.0,0.79,3.19,2.912,3.98,6.0,1.2,1.92,6.0,2.0,0.6,0.8,1.0,1.6,0.9600000000000002,1.0,115.765,31.1235,33.8566,9.7075,1.182,100.6,1.6903085094570331,17.276116856995195
mp-2469,16.0,48.0,16.0,88.0,18.0,79.0,9.0,40.173,388.36,594.22,205.86,491.29,102.93,388.36,14.0,2.0,1.0,3.0,144.0,39.0,124.5,105.0,1.69,0.8900000000000001,2.135,1.69,10.0,5.0,5.0,9.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,25.786875,22.6409375,3.1459374999999987,19.495,1.101,132.0,2.8284271247461903,20.00939760945578
mp-19717,52.0,82.0,52.0,90.0,9.0,85.5,4.5,39.8,600.61,722.66,122.04999999999995,661.635,61.02499999999998,600.61,15.0,1.0,0.5,5.0,146.0,8.0,142.0,138.0,2.1,0.22999999999999998,2.215,2.1,10.0,10.0,0.0,22.0,6.0,3.0,0.0,2.0,3.0,1.0,2.0,34.7633333333,31.436666666649998,3.3266666666499987,28.11,0.232,188.5,2.8284271247461903,12.501013194604194
mp-554769,16.0,42.0,16.0,95.0,45.0,77.66666666666667,18.444444444444443,24.829777777777778,265.8,2896.0,2630.2,1183.3866666666668,1141.7422222222222,265.8,13.0,4.666666666666667,0.6666666666666666,3.0,154.0,49.0,126.33333333333333,105.0,2.16,0.7999999999999998,2.566666666666667,2.16,10.0,5.0,3.3333333333333335,9.666666666666666,4.888888888888888,1.0,1.6666666666666667,1.0,3.0,2.0,1.0,29.48,23.652291666666667,5.308194444444444,15.69,1.2196666666666667,121.0,2.6457513110645907,30.347030230743243
mp-19955,27.0,32.0,27.0,79.0,21.0,67.6,9.12,5.8412176,1211.4,1768.0,556.5999999999999,1463.314,243.7488,1211.4,11.4,2.08,0.0,4.0,132.0,12.0,124.8,120.0,1.88,0.1299999999999999,1.936,1.88,10.0,8.8,1.44,11.4,2.08,1.6,1.2,1.0,3.0,0.8,3.0,23.005,15.514,5.9928,10.245,0.1532,212.6,0.0,63.72733113769042
mp-19326,8.0,25.0,8.0,87.0,35.0,75.33333333333333,15.555555555555557,17.306064444444445,54.8,1519.0,1464.2,542.8666666666667,650.7555555555556,54.8,13.0,4.0,0.8888888888888888,2.0,139.0,73.0,90.33333333333333,66.0,1.55,1.89,2.81,3.44,5.0,1.6666666666666667,2.222222222222222,6.333333333333333,0.44444444444444436,1.3333333333333333,1.6666666666666667,2.0,3.0,1.3333333333333333,2.0,10.4875862069,9.565862068966666,0.6144827586222217,9.105,0.0,80.33333333333333,4.242640687119285,71.24628976635036
mp-569600,32.0,33.0,33.0,84.0,5.0,81.85714285714286,2.4489795918367343,1.117518367346938,1090.0,1211.4,121.40000000000009,1142.0285714285715,59.46122448979596,1090.0,14.571428571428571,0.489795918367347,0.0,4.0,120.0,1.0,119.42857142857143,119.0,2.01,0.17000000000000037,2.107142857142857,2.18,10.0,10.0,0.0,14.571428571428571,0.489795918367347,3.4285714285714284,0.0,3.0,3.4285714285714284,0.4897959183673469,3.0,23.005,22.530714285714286,0.4065306122448971,22.175,0.16414285714285715,191.28571428571428,4.949747468305833,30.019409204923424
mp-30882,22.0,30.0,30.0,69.0,26.0,60.333333333333336,11.555555555555555,7.783555555555556,692.68,1941.0,1248.3200000000002,1108.7866666666666,554.8088888888889,692.68,9.333333333333334,3.5555555555555554,0.0,4.0,160.0,38.0,134.66666666666666,122.0,1.54,0.10999999999999988,1.6133333333333333,1.65,10.0,7.333333333333333,3.555555555555556,9.333333333333334,3.5555555555555554,0.0,2.6666666666666665,0.0,2.6666666666666665,3.555555555555556,0.0,16.69,14.87,1.213333333333333,13.96,0.0,194.0,0.0,49.39415968680441
mp-553932,8.0,31.0,8.0,87.0,13.0,84.16666666666667,3.7777777777777763,15.266213777777779,54.8,317.3,262.5,139.90166666666667,113.4688888888889,54.8,15.333333333333334,0.8888888888888887,0.6666666666666666,2.0,122.0,56.0,82.16666666666667,66.0,1.81,1.63,2.9599999999999995,3.44,10.0,1.6666666666666667,2.777777777777778,7.0,2.0,2.6666666666666665,0.0,2.0,2.6666666666666665,0.8888888888888888,2.0,22.5702380952,12.974623015866667,5.159497354488889,9.105,0.2708333333333333,19.0,4.0824829046386295,31.42762552473905
mp-10440,12.0,45.0,45.0,83.0,24.0,68.54545454545455,10.512396694214877,36.32999523966942,317.3,2237.0,1919.7,1419.4727272727273,891.8479338842976,2237.0,10.545454545454545,3.2396694214876036,0.9917355371900828,5.0,142.0,35.0,129.1818181818182,142.0,1.31,0.9699999999999998,2.159090909090909,2.28,8.0,4.363636363636363,3.966942148760331,6.909090909090909,2.2809917355371905,1.0909090909090908,1.0909090909090908,0.0,2.727272727272727,0.4958677685950415,3.0,22.89,17.728268398254546,4.459929161732231,13.64,0.5909090909090909,141.0909090909091,0.0,78.46057421773372
mp-570604,7.0,73.0,7.0,82.0,34.0,65.0,17.0,83.47059,63.05,3290.0,3226.95,1676.525,1613.475,63.05,10.0,5.0,2.0,2.0,170.0,99.0,120.5,71.0,1.5,1.54,2.27,1.5,3.0,1.5,1.5,12.0,7.0,1.5,3.5,3.0,5.0,2.0,3.0,18.12,16.444375,1.6756250000000001,14.76875,3.2185,211.5,4.242640687119285,145.80829625460288
mp-5724,8.0,15.0,8.0,87.0,14.0,84.0,4.0,5.7681112444444445,54.8,933.47,878.6700000000001,244.995,253.59333333333333,54.8,15.333333333333334,0.8888888888888887,0.4444444444444445,2.0,121.0,55.0,82.0,66.0,1.61,1.8299999999999998,2.9266666666666663,3.44,0.0,0.0,0.0,5.333333333333333,0.888888888888889,2.6666666666666665,0.0,2.0,2.6666666666666665,0.8888888888888888,2.0,22.5702380952,12.578373015866667,4.631164021155556,9.105,0.2708333333333333,45.833333333333336,4.0824829046386295,37.24333921372461
mp-998971,14.0,27.0,14.0,78.0,35.0,58.5,9.75,9.798586874999998,1687.0,1941.0,254.0,1801.75,74.25,1687.0,8.75,2.75,0.375,3.0,160.0,49.0,132.25,111.0,1.54,0.3599999999999999,1.7875,1.54,7.0,3.75,2.75,6.25,2.25,1.0,3.75,3.0,4.75,1.625,3.0,20.44,14.526250000000001,4.03875,10.245,0.19325,211.0,0.0,103.82659160276947
mp-546200,8.0,81.0,8.0,96.0,20.0,86.6,4.240000000000004,71.8293528,54.8,577.0,522.2,225.65,205.02000000000004,54.8,15.6,1.0400000000000003,1.6799999999999997,2.0,145.0,79.0,96.4,66.0,1.62,1.8199999999999998,2.9200000000000004,3.44,10.0,4.0,4.8,12.4,7.6800000000000015,2.4,0.0,1.0,2.4,1.0399999999999998,2.0,43.015,19.448,12.4116,9.105,0.2124,58.8,3.6839419880650364,27.225660343864938
mp-4370,33.0,46.0,33.0,84.0,76.0,60.0,20.8,13.087488000000002,1050.0,1828.05,778.05,1377.22,360.664,1090.0,10.4,3.6800000000000006,0.4800000000000001,4.0,195.0,76.0,142.2,119.0,0.95,1.2500000000000002,1.9420000000000002,2.18,10.0,8.0,3.2,10.4,3.6800000000000006,1.2,0.0,0.0,1.2,1.44,0.0,54.23,25.48,11.5,14.41,0.0,201.4,3.0618621784789726,32.24381398762616
mp-11800,27.0,34.0,34.0,89.0,31.0,75.71428571428571,15.183673469387756,9.809047346938772,494.0,1768.0,1274.0,1040.0,624.0,494.0,13.0,3.4285714285714284,0.0,4.0,126.0,6.0,122.57142857142857,120.0,1.88,0.6699999999999999,2.262857142857143,2.55,10.0,8.714285714285714,1.469387755102041,13.0,3.4285714285714284,1.1428571428571428,1.2857142857142858,2.0,2.4285714285714284,0.4897959183673469,2.0,25.92,19.20214285714286,7.677551020408164,25.92,0.4565714285714286,91.14285714285714,3.1622776601683795,38.99727119527334
mp-193,29.0,40.0,40.0,64.0,20.0,50.666666666666664,8.888888888888888,12.301333333333334,1357.77,2128.0,770.23,1871.256666666667,342.3244444444444,2128.0,6.333333333333333,3.1111111111111107,0.44444444444444436,5.0,175.0,43.0,160.66666666666666,175.0,1.33,0.5699999999999998,1.5200000000000002,1.33,10.0,4.666666666666667,3.555555555555556,6.333333333333333,3.1111111111111107,0.0,5.333333333333333,1.0,5.666666666666667,3.1111111111111107,8.0,23.195,19.153333333333332,5.388888888888889,23.195,0.0,204.33333333333334,0.0,36.8711173610937
mp-22909,17.0,30.0,17.0,94.0,25.0,85.66666666666667,11.111111111111109,13.300888888888885,171.6,692.68,521.0799999999999,345.2933333333333,231.5911111111111,171.6,15.333333333333334,2.222222222222222,0.4444444444444445,3.0,122.0,20.0,108.66666666666667,102.0,1.65,1.5100000000000002,2.6566666666666667,3.16,10.0,3.3333333333333335,4.444444444444444,8.666666666666666,2.222222222222222,0.6666666666666666,0.0,0.0,0.6666666666666666,0.4444444444444445,1.0,24.4975,20.985,4.683333333333333,24.4975,1.662,107.33333333333333,2.1213203435596424,7.648256848793716
mp-997010,8.0,81.0,8.0,87.0,22.0,78.75,8.25,70.063175,54.8,1234.93,1180.13,480.3825,425.58250000000004,54.8,14.0,2.0,1.75,2.0,145.0,79.0,105.5,66.0,1.62,1.8199999999999998,2.6075,3.44,10.0,5.0,5.0,12.5,7.25,2.25,0.0,1.0,2.5,1.25,2.0,26.91,15.362499999999999,6.257499999999999,9.105,0.0,110.75,2.6832815729997477,22.21325197123738
mp-18759,8.0,25.0,8.0,87.0,35.0,72.0,17.142857142857142,19.071989387755103,54.8,1519.0,1464.2,682.3142857142857,717.1591836734694,54.8,12.142857142857142,4.408163265306123,0.979591836734694,2.0,139.0,73.0,97.28571428571429,66.0,1.55,1.89,2.63,3.44,5.0,2.142857142857143,2.4489795918367347,6.428571428571429,0.489795918367347,1.1428571428571428,2.142857142857143,2.0,3.2857142857142856,1.4693877551020407,2.0,10.4875862069,9.697536945814287,0.677185080930612,9.105,0.0,99.85714285714286,3.1622776601683795,60.43829042925412
mp-9953,15.0,72.0,15.0,83.0,38.0,64.0,19.0,73.758119,317.3,2506.0,2188.7,1411.65,1094.35,317.3,9.5,5.5,1.5,3.0,175.0,68.0,141.0,107.0,1.3,0.8899999999999999,1.745,1.3,2.0,1.0,1.0,11.5,6.5,1.5,4.0,3.0,5.5,2.5,3.0,22.5702380952,22.3851190476,0.18511904760000064,22.2,0.8125,98.0,0.0,87.5289617882287
mp-20097,6.0,82.0,78.0,81.0,18.0,69.4,7.6800000000000015,59.552736,600.61,3823.0,3222.39,2109.5620000000004,685.3752000000002,2041.4,11.6,1.92,1.2799999999999998,6.0,146.0,70.0,126.0,136.0,2.28,0.27,2.344,2.28,10.0,7.4,2.96,20.8,6.719999999999999,1.6,0.6,2.0,2.8,0.96,2.0,28.11,15.762,4.9392000000000005,15.02,0.8992000000000001,218.8,3.3806170189140663,48.157042264674615
mp-30884,30.0,39.0,30.0,69.0,57.0,54.75,21.375,8.82219375,692.68,1799.0,1106.3200000000002,969.26,414.87,692.68,9.75,3.375,0.375,4.0,190.0,68.0,139.0,122.0,1.22,0.42999999999999994,1.5424999999999998,1.65,10.0,7.75,3.375,9.75,3.375,0.0,2.25,0.0,2.25,3.375,0.0,32.365,18.56125,6.901875,13.96,0.0,194.0,0.0,32.05546806387507
mp-21264,7.0,76.0,7.0,82.0,25.0,73.66666666666667,11.111111111111109,78.32146666666667,63.05,3306.0,3242.95,1144.0333333333333,1441.3111111111111,63.05,12.666666666666666,3.111111111111111,1.777777777777778,2.0,144.0,73.0,95.33333333333333,71.0,2.2,0.8399999999999999,2.7600000000000002,3.04,6.0,2.0,2.6666666666666665,10.666666666666666,7.5555555555555545,2.0,1.3333333333333333,3.0,3.3333333333333335,0.4444444444444445,3.0,14.76875,14.542499999999999,0.30166666666666764,14.76875,4.291333333333333,194.0,6.363961030678928,125.71311999684818
mp-567832,22.0,52.0,22.0,90.0,47.0,66.5,23.5,39.8665,722.66,1941.0,1218.3400000000001,1331.83,609.1700000000001,722.66,10.0,6.0,0.5,4.0,160.0,22.0,149.0,138.0,1.54,0.56,1.82,1.54,10.0,6.0,4.0,10.0,6.0,1.0,4.0,2.0,5.0,3.0,2.0,34.7633333333,25.726666666649997,9.036666666649998,16.69,0.232,173.0,2.8284271247461903,42.306510523693504
